	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	4852	14029	8332	13723	11192	2736	4950	17471	7162	14649	7301	4215	4507	10959	4968	8664	2281	19166	325	11721	6818	2181	7207	3767	2693	9315	5725	9444
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	8639	8141	11598	19649	16563	1852	6530	27500	14937	13207	4089	1670	3310	9759	9654	14701	1370	24220	184	17230	9155	5860	10092	8075	6800	8439	9787	8127
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	3737	4535	5408	9333	7361	1975	3170	10157	6268	8316	2590	1389	1529	6112	4959	5768	758	9609	250	10382	7014	3842	5584	2859	5237	8476	4129	8754
Oligosaccharide repeat unit polymerase Wzy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Optional hypothetical component of the B12 transporter BtuN	0	1	0	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF-66	0	0	0	1	0	1	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Organic hydroperoxide resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Organic hydroperoxide resistance transcriptional regulator	1079	879	147	1823	1550	1462	195	3730	1333	2064	526	3284	360	2040	1937	1142	5847	2719	271	4585	4715	2276	290	25	1054	110	797	223
Organomercurial lyase (EC 4.99.1.2)	1	3	1	239	3	73	1	375	1	233	1	91	1	169	1	172	508	477	1	644	925	211	60	1	277	1	1	1
Ornithine carbamoyltransferase (EC 2.1.3.3)	51	9575	1876	3655	21877	7229	24	521	607	7435	855	13204	1269	15865	1764	920	150	911	2107	630	1758	200	2375	4712	30	1615	4080	1330
Ornithine cyclodeaminase (EC 4.3.1.12)	1	1	26	1	820	9	1	3	1	6	1	10	1	20	2	3	1	2	1	1	3	1	52	1	1	21	13	1
Ornithine decarboxylase (EC 4.1.1.17)	2474	2799	277	977	500	2319	461	1193	4155	2790	1849	4434	1396	3946	2649	861	1205	2038	291	2235	8166	3819	716	878	2520	903	2512	1801
Ornithine racemase (EC 5.1.1.12)	0	0	0	1	0	6	0	3	10	16	0	16	0	7	4	6	0	3	0	6	22	5	0	0	0	0	7	0
Orotate phosphoribosyltransferase (EC 2.4.2.10)	704	1646	6411	11905	6629	1554	21102	9002	4355	5898	1418	4072	536	2992	6796	2696	1505	13155	250	6393	11166	7575	1990	71	3247	1981	1982	2674
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	655	3432	2592	5904	3237	1720	8603	5774	4388	3310	2105	2357	1379	1589	4386	1951	1410	5717	124	3712	7154	4578	833	63	3457	903	1380	1019
Osmolarity sensory histidine kinase EnvZ	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
Osmoprotectant ABC transporter ATP-binding subunit YehX	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osmoprotectant ABC transporter binding protein YehZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Osmoprotectant ABC transporter inner membrane protein YehW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osmoprotectant ABC transporter permease protein YehY	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	681	21	34	1363	51	373	73	2600	2842	492	27	644	10	485	1671	412	43	1355	181	1002	2559	1290	116	29	409	12	492	11
Osmotically activated L-carnitine/choline ABC transporter, ATP-binding protein OpuCA	0	0	0	0	0	0	0	1	1	4	0	1	0	1	0	0	0	2	37	2	2	0	0	0	7	6	4	7
Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCB	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	35	1	3	1	3	1	13	6	2	9
Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCD	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	39	1	1	1	1	0	6	7	3	8
Osmotically activated L-carnitine/choline ABC transporter, substrate-binding protein OpuCC	0	0	0	0	0	2	0	1	1	7	1	8	0	9	1	1	0	0	54	0	0	0	1	0	17	12	10	12
Osmotically inducible protein OsmY	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Outer membrane lipoprotein LolB precursor	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Outer membrane lipoprotein omp16 precursor	1	7	2	1	0	470	0	6	15	68	0	215	1	47	35	5	1	42	1	4	63	9	1	1	2	1	14	0
Outer membrane lipoprotein YidQ	0	1	1	0	0	0	0	1	0	1	0	1	1	4	1	4	0	1	0	1	1	1	1	0	1	1	1	1
Outer membrane porin protein NmpC precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
Outer membrane protein A precursor	60	146	95	2936	54	52814	87	4457	823	83146	52	11995	63	37091	11283	12070	3484	11689	2149	5318	22508	6107	655	52	6136	21	22709	21
Outer membrane protein assembly factor YaeT precursor	3	5	4	133	2	604	3	457	32	722	2	2880	3	224	732	781	3	1340	230	263	3077	1561	29	2	744	2	146	1
Outer membrane protein C precursor	1	1	0	2	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0
Outer membrane protein G precursor	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Outer membrane protein H precursor	114	146	73	10124	64	22924	82	42211	701	20480	53	20981	61	14053	13394	14996	27702	43558	1232	23368	54520	27360	778	67	9586	22	7851	17
Outer membrane protein Imp, required for envelope biogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Outer membrane protein N precursor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Outer membrane protein NlpB, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and YfgL)	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Outer membrane protein SusE	0	1	5	0	1	2	0	2	24	15	0	0	0	1	24	39	1	0	0	0	52	4	1	0	0	0	13	0
Outer membrane protein SusF	0	6	6	0	0	2	0	5	137	35	0	1	0	0	32	29	3	1	0	2	89	3	0	0	0	1	19	0
Outer membrane protein W precursor	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Outer membrane protein X precursor	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Outer membrane protein YfgL, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and NlpB)	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Outer membrane protein/protective antigen OMA87	3	5	3	16	2	3103	3	33	19	3176	1	266	2	1439	235	351	23	374	4	91	394	63	3	3	27	1	912	1
Outer membrane receptor proteins, mostly Fe transport	6	15	9	63	7	1457	9	509	31	998	6	2912	6	315	1088	826	3	1031	86	316	9696	2457	59	3	827	1	342	2
Outer membrane stress sensor protease DegQ, serine protease	1	1	1	0	0	10	0	1	1	6	1	1	1	184	5	1	0	2	0	2	2	0	14	0	0	0	0	0
Outer membrane stress sensor protease DegS	37	92	65	977	40	12342	39	7069	1196	7701	33	9890	41	11029	7777	1833	79	7824	936	7174	22308	9945	132	34	5204	4	1753	3
Outer membrane usher protein HtrE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Outer membrane vitamin B12 receptor BtuB	11	31	14	253	10	244	10	476	48	370	6	1113	11	136	381	1021	12	7316	521	238	3612	1616	19	9	3305	3	125	2
Outer surface protein of unknown function, cellobiose operon	3133	3146	236	66	1039	6	118	14	653	4	1370	9	990	8	5	8	6	6	7	7	7	5	258	5503	12	1170	760	1934
Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	11	14
Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	0	0	0	1	0	6	0	2	0	4	0	2	0	8	2	6	2	5	0	2	15	3	2	0	9	8	11	11
Oxidoreductase ion channel	0	0	0	0	2	6	1	0	10	0	18	1	0	20	1	1	0	1	0	0	0	2	2	5	5	3	6	7
Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)	1	1	2	1	1	111	1	47	30	134	1	118	1	58	290	5	2	152	1	1	239	142	1	1	20	1	35	1
Pantoate--beta-alanine ligase (EC 6.3.2.1)	9	20	10	459	11	573	10	1582	33	576	6	3561	3	454	1045	1116	1946	2702	147	2242	4089	2076	42	6	1208	2	194	3
Pantothenate kinase (EC 2.7.1.33)	4372	2354	8387	7747	11500	30	6988	3196	5688	3409	1140	24	822	2438	2267	2303	34	2047	43	4541	1561	426	4872	759	1284	902	1457	1369
Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	1	4	4	51	2	132	1	53	12	351	1	818	2	80	168	224	3	432	86	32	708	375	13	1	388	1	70	1
Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	34	11	13	468	7	602	5	639	289	250	7	488	5	360	808	289	609	743	11	666	2190	1110	106	5	408	4	146	4
Pantothenate:Na+ symporter (TC 2.A.21.1.1)	1	0	0	1	0	4	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	2	6	0	0	0	0	0
Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	2	1	1	3	1	36	1	3	2	22	1	6	2	1	2	11	1	2	25	3	10	8	1	1	1	1	1	1
Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	1	7	1	6	1	24	2	27	10	33	5	46	3	2	13	108	1	165	40	22	328	113	11	1	211	1	20	1
Paraquat-inducible protein A	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Paraquat-inducible protein B	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	2	3	1	1	0	0	0	8	0
Paratox	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	59	1	1	1	5	1	1	1	1	1
ParE toxin protein	4	0	9	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectin degradation protein KdgF	1	4	4	1	1	4	1	4	8	18	1	4	1	4	1	1	1	1	1	1	1	1	4	9	7	1	1	1
Pectinesterase (EC 3.1.1.11)	16	65	12	8	157	5	2	3	18	1	11	1	1	7	2	1	1	2	2	1	3	3	5	391	1	11	1	32
Penicillin-binding protein 1A/1B (PBP1)	1689	1469	107	45	597	3	155	5	1295	3	820	3	405	19	4	2	2	3	94	5	10	4	98	1429	32	1041	176	1116
Penicillin-binding protein 2 (PBP-2)	2	7	8	57	2	176	2	131	10	353	4	798	1	72	194	340	6	738	102	126	1705	623	20	3	514	2	82	2
Penicillin-binding protein AmpH	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	0	0	0	0	0	8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Peptidase B (EC 3.4.11.23)	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
Peptidase M48, Ste24p precursor	138	24	35	2276	15	1088	11	1719	2169	1288	12	1929	14	1116	3140	1203	1753	2081	104	2201	4522	2975	272	11	1193	4	830	5
Peptide chain release factor 1	2835	5125	6196	6743	7030	2481	2997	4273	3868	4954	2094	2159	1886	3785	3807	3189	1093	4304	212	5102	5909	2969	5604	2079	1318	3293	1793	4151
Peptide chain release factor 2	1149	1687	5136	6441	6098	3465	2642	6571	2363	5872	1543	5349	798	4245	4393	3642	2066	7193	391	5396	9665	4574	3678	1294	2415	1010	1492	1747
Peptide chain release factor 3	3651	3096	3431	4413	3737	771	1689	3297	2072	2052	2100	1422	1435	1890	1574	2357	529	2609	234	2420	4021	1230	3835	1334	989	2278	1850	2287
Peptide chain release factor homolog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Peptide deformylase (EC 3.5.1.88)	1530	3474	6139	11500	10236	2623	2533	9851	5920	7635	1491	5905	1207	6055	7704	4876	2048	9973	296	8160	18984	9271	3037	1479	6164	2016	4209	2840
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	547	673	215	38	333	31	164	23	542	39	1608	38	779	18	10	12	6	19	105	11	75	19	407	997	8	379	238	1904
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	486	3554	125	140	1072	1073	165	237	396	1565	441	1263	771	969	456	435	48	689	132	187	1850	848	127	1243	740	646	596	1719
Peptide transport periplasmic protein sapA (TC 3.A.1.5.5)	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Peptide transport system ATP-binding protein SapD (TC 3.A.1.5.5)	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Peptide transport system ATP-binding protein sapF (TC 3.A.1.5.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
Peptide transport system permease protein sapB (TC 3.A.1.5.5)	2	997	33	2	2	19	3	4	12	81	203	23	272	44	128	4	2	8	2	5	44	25	38	2	5	412	63	802
Peptide transport system permease protein sapC (TC 3.A.1.5.5)	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0
Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)	51	9	19	294	18	390	7	375	31	313	4	181	6	408	693	194	690	297	69	416	693	272	29	4	183	4	244	4
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	56	100	127	2047	97	1953	68	3450	153	2736	48	6763	99	1703	1722	3557	2882	5804	709	2748	8807	5741	517	51	3034	21	511	21
Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8)	0	0	0	0	0	221	0	2	0	11	2	0	0	90	789	0	0	0	0	0	2	0	0	0	0	0	168	0
Peptidyl-prolyl cis-trans isomerase ppiB (EC 5.2.1.8)	0	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Peptidyl-prolyl cis-trans isomerase ppiD (EC 5.2.1.8)	5	13	9	4	10	418	1	20	114	495	2	237	2	563	41	3	19	9	2	7	60	47	6	3	4	1	18	1
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	693	2907	3819	5416	4267	2334	1370	4449	1634	3898	1483	3367	1497	3483	2188	2214	4093	4011	99	3931	7787	4303	1823	1096	1973	2177	1741	2200
Peptidyl-tRNA hydrolase, archaeal type (EC 3.1.1.29)	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Periplasmic [Fe] hydrogenase (EC 1.12.7.2)	0	6	1	1	1	35	1	2	11	22	0	22	2	59	5	1	8	1	0	2	6	10	3	1	2	1	10	1
Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2)	5	10	2	1644	6	1423	5	1938	5	1100	1	594	4	917	1222	457	2442	1151	8	2088	3301	1552	80	4	695	3	657	1
Periplasmic alpha-amylase (EC 3.2.1.1)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Periplasmic beta-glucosidase (EC 3.2.1.21)	0	0	0	0	0	3	0	0	1	8	0	1	0	2	1	9	0	0	0	0	11	1	1	0	2	0	0	0
periplasmic fructose-binding protein component of signal transduction system LevQ	0	52	19	17	249	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	5	426	0	6	6	13
periplasmic fructose-binding protein component of signal transduction system LevT	1	58	10	21	207	15	0	1	0	3	0	2	0	1	0	0	0	0	0	1	0	0	9	286	0	24	0	12
Periplasmic hemin-binding protein	1	2	1	1	1	8	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	63	1	1	1	1	1
Periplasmic mercury(+2) binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Periplasmic Murein Peptide-Binding Protein MppA	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Periplasmic nitrate reductase component NapD	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Periplasmic nitrate reductase precursor (EC 1.7.99.4)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Periplasmic protein p19 involved in high-affinity Fe2+ transport	11	1	3	171	2	215	3	277	156	767	1	560	5	648	758	218	235	754	40	182	1143	705	13	2	1078	2	186	1
Periplasmic protein torT precursor	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
Periplasmic protein YqjC	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Periplasmic thiol:disulfide interchange protein DsbA	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0
Permease of the drug/metabolite transporter (DMT) superfamily	1101	1060	589	1049	1238	1586	269	647	1183	2113	615	1636	420	1178	1265	1113	228	1664	186	1144	2152	1164	741	909	1431	713	914	656
Permease Ygh-P1, YjgP/YjgQ family	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Permease Ygh-P2, YjgP/YjgQ family	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0
Peroxidase (EC 1.11.1.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Peroxide stress regulator	2	11	3	19	3	1135	5	452	33	1049	5	561	3	787	117	16	9	324	68	820	262	522	13	2	764	3	160	3
Peroxide stress regulator PerR, FUR family	27	326	50	3939	629	1358	8	6462	18	2894	12	2080	286	759	837	1001	6271	1971	229	5689	5419	5502	101	984	770	22	1186	39
PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase	1360	1	6	1	51	41	273	3	362	15	4	83	1	41	5	2	4	3	110	4	2	2	48	15	1	2	1	2
Phage baseplate wedge	1	1	37	1	1	1	1	7	1	1	1	1	137	1	1	1	1	1	1	1	1	1	59	1	1	39	52	134
Phage capsid and scaffold	50680	125460	58445	44797	62574	55878	49323	51527	56210	72652	49191	62635	57248	63637	55227	51609	34849	72877	85258	87936	74084	52978	82546	48865	511	13	166	2053
Phage capsid assembly	22564	55753	25985	19793	27617	24871	21552	22247	24788	27603	21750	27571	25014	28441	24407	21254	15446	31439	38072	37900	32923	23519	36395	22021	5	2	2	2
Phage capsid protein	2	572	1	3	1	2	1	0	9	9	83	1	58	4	2	1	0	7	1	2	0	3	4	0	1	19	3	42
Phage capsid scaffolding protein	1	1	1	22	1	6	22	1	1	6	33	2	1	2	1	1	24	1	1	3	17	16	1	2	10	1	1	579
Phage collar	1	0	0	0	0	1	0	0	15	5	2	3	4082	1	1	4	2	0	4	4	6	2	3	0	0	170	0	497
Phage endonuclease	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0
Phage endopeptidase	0	0	0	0	0	0	0	4	0	203	0	1	0	0	0	0	0	86	0	0	0	28	27	0	0	0	0	0
Phage exonuclease	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phage integrase	6	4456	199	5	3	7	4	1837	12	2713	1522	9	1988	86	5	1373	3	3	33	9	4	4	294	3	82	2441	575	4121
Phage lysin	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	2	1
Phage lysin, N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	1	1	1	1	1	2	1	1	1	9	1	1	1	2	1	1	1	1	1	1	18	3	1	1	1	1	1	1
Phage major capsid protein	25541	63604	29525	22681	31441	28502	24970	26233	28864	32137	25340	31629	28976	32150	28094	27303	17782	40172	43441	45572	38021	26922	41740	24789	280	1	106	2
Phage major tail protein	16	58	94	111	21	1899	12	597	12	2649	7	58	10	214	10287	4577	6	715	12	1920	300	102	36	15	486	132	47	25
Phage minor capsid protein	1	1	1	1	1	1	47	1	3	1	117	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	818
Phage minor tail protein	1	1	1	6	1	2	1	18	2	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	128	1	1	1
Phage portal protein	5	3	8	6	3	207	4	128	9	350	3	23	2	19	1152	1763	2	440	2	263	171	74	6	1	150	3	83	1
Phage resolvase	1	1	1	1	1	192	1	3	3	8	1	55	1	1	1	1	1	1	1	6	1	1	55	1	1	1	1	1
Phage shock protein A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Phage shock protein C	2	5080	174	5	5	74	5	81	103	428	1475	137	1746	155	203	8	2	75	2	17	363	153	448	2	12	566	228	672
Phage shock protein E	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phage T7 exclusion protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phage T7 exclusion protein associated hypothetical protein	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Phage tail assembly	3	670	6	51	2	2	4	23	4	2	113	4	689	2	3	2	2	2	2	2	2	2	70	2	2	133	3	1857
Phage tail assembly protein I	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phage tail fiber protein	0	1	46	19	19	3	14	141	1	40	1	8	0	9	2	190	2	6	0	97	25	2	143	0	0	0	0	0
Phage tail fibers	411	3	53	16	21	6	296	1	2834	3	2	5	41	6	775	1	2	3	5	1	3	2	4	1	2	89	25	407
Phage tail length tape-measure protein	1	1	1	17	1	4	3	3	0	5	14	3	14	2	448	1058	21	2	1	12	5	16	16	0	0	61	1	347
Phage tail sheath monomer	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Phage terminase large subunit	2	3	4	67	4	170	134	120	14	256	2	17	1	18	129	49	1	614	2	604	276	41	9	1	104	3	57	1
Phage terminase small subunit	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10
Phage-associated cell wall hydrolase	0	0	0	1	0	1	0	0	2	11	0	4	0	2	0	1	0	3	0	0	5	3	0	0	0	0	0	0
Phage-associated recombinase	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Phage-encoded chromosome degrading nuclease YokF	0	0	0	0	0	1	0	3	0	1	0	1	0	3	0	0	0	0	0	0	4	0	0	0	0	0	1	0
Phenylacetic acid degradation protein PaaD, thioesterase	5	27	9	1746	9	2353	5	4931	6	2137	8	710	3	1606	1705	1768	5398	4248	10	3487	3715	2158	57	7	699	1	722	1
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	2231	4600	2144	5366	3102	3558	1007	8941	4732	5624	3633	5025	1758	3924	5680	3483	686	7797	337	4465	11755	6691	2419	1645	4206	2823	4689	3345
Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	2716	3102	3566	8056	4957	2547	1624	6690	4522	7249	2332	10299	1089	5381	6800	5459	624	8190	302	6070	14405	7640	4283	2051	4604	2680	2228	3036
Pheromone response surface protein PrgC	3964	1	2	2	17	3	76	5	76	4	3	1	2	1	1	4	1	8	1	1	1	15	4	1	0	0	0	0
PhnB protein	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79	1	1	1	4	2	1	1	1	1
PhnG protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PhnH protein	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PhnI protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PhnJ protein	2	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PhnO protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Phosphatase NagD predicted to act in N-acetylglucosamine utilization subsystem	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	890	36836	1973	15398	1041	249	214	3635	2032	742	7858	931	13010	512	1097	289	175	1929	70	783	1231	1136	1944	329	197	4564	707	9839
Phosphate acetyltransferase (EC 2.3.1.8)	2607	6588	4899	10732	6719	19036	3607	16916	3111	12305	1969	11052	2313	11895	30301	6648	14013	13431	1108	14046	24817	13142	5104	2127	6167	3802	14324	4580
Phosphate acetyltransferase (EC 2.3.1.8), ethanolamine utilization-specific	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	35	40663	129	978	32	1331	16	1064	152	1516	10800	2593	19444	1801	927	719	1263	1698	175	960	2603	1481	400	20	925	9336	857	1350
Phosphate regulon transcriptional regulatory protein PhoB	3551	6882	3180	3086	4002	28	1218	2723	2323	1755	2167	40	2510	1003	709	1428	9	1184	15	1655	551	221	2206	1517	498	1331	1030	2021
Phosphate regulon transcriptional regulatory protein PhoB (SphR)	1919	83456	5414	6154	6549	1679	2440	7869	3495	3400	21331	5954	40356	4418	4226	2184	1055	4680	138	5035	8292	1735	5935	2011	1751	9185	3549	3767
Phosphate starvation-inducible protein PhoH, predicted ATPase	3026	19820	10065	7995	11282	1533	3885	7569	3196	5386	10229	2615	8829	4145	3949	3639	311	4565	154	6811	5316	2835	8646	3000	1947	6103	2648	8587
Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	3010	117555	1929	9822	1143	267	405	3018	3269	1167	30297	494	48423	441	582	283	138	1583	222	420	657	510	3408	418	223	10371	1841	14326
